Occupation,standard,idfobject,Name,objectfield,Value,Comment
RetailStandalone,standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_3,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.65,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_3,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.6,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_4,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.00001,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_4,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.00006,
RetailStandalone,standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_4,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.00014,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_4,Air_Mass_Flow_Coefficient_When_Opening_is_Closed,0.001,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_4,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_4,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_4,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.65,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Component:DetailedOpening,Opening_4,Air_Mass_Flow_Exponent_When_Opening_is_Closed,0.6,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_1,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.00012,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_1,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.00036,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_1,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0012,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_1,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0018,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_1,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_1,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_1,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_1,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_2,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0015081,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_2,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0045243,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_2,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.015081,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_2,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0226215,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_2,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_2,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_2,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,non-standard,AirflowNetwork:MultiZone:Surface:Crack,Crack_2,Air_Mass_Flow_Exponent,0.7,
RetailStandalone,ZEB,AirflowNetwork:MultiZone:Surface:Crack,Crack_3,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0160048,
RetailStandalone,efficient,AirflowNetwork:MultiZone:Surface:Crack,Crack_3,Air_Mass_Flow_Coefficient_at_Reference_Conditions,0.0480144,
